agency_name,position,name,appointment_date,expiry_date,appointment_method
PSPP Corporation,AUPE Nominee,"Byrne, Matthew",Feb 05 2025,Feb 04 2028,Order in Council
PSPP Corporation,AUPE Appointee,"Lardner, David",Jul 09 2025,Jul 08 2028,Order in Council
PSPP Corporation,GoA Appointee,"Groch, Emilian",Jul 09 2025,Jul 08 2027,Order in Council
PSPP Corporation,GoA Appointee,"Prokopy, Ross",Feb 05 2025,Feb 04 2028,Order in Council
PSPP Corporation,U of A / U of C Nominee,"Lacasse, Jacqueline",Jul 09 2025,Jul 08 2028,Order in Council
Public Health Appeal Board,Chair & Member,"Kelly, Kevin",Jul 08 2023,Jul 07 2026,Order in Council
Public Health Appeal Board,Vice-Chair & Member,"Bourassa, Paul",Mar 12 2025,Jun 22 2027,Order in Council
Public Health Appeal Board,Member,"Wearmouth, Vicki",Mar 12 2025,Mar 15 2026,Order in Council
Public Health Appeal Board,Member,"Rolfe, David",May 24 2023,May 23 2026,Order in Council
Public Health Appeal Board,Member,"Chika-James, Theresa",Mar 29 2023,Mar 28 2026,Order in Council
Public Security Indigenous Advisory Committee,Member,"Jackson, Darlene",Jun 06 2024,Jun 05 2026,Ministerial Order
Public Security Indigenous Advisory Committee,Member,"Bourque, Sharon",Nov 27 2023,Nov 26 2026,Ministerial Order
Public Security Indigenous Advisory Committee,Member,"Manywounds, Teddy",Nov 27 2023,Oct 05 2026,Ministerial Order
Public Security Indigenous Advisory Committee,Member,"Thiessen, Earl",Oct 06 2022,Oct 05 2025,Ministerial Order
Public Security Indigenous Advisory Committee,Chair,"Dyck, Nolan",Apr 09 2025,Apr 08 2028,Ministerial Order
Real Estate Council of Alberta,Chair & Public Member - Board,"McDonald, Elan",Dec 01 2023,Nov 30 2025,Ministerial Order
Real Estate Council of Alberta,Public Member,"Walter, Gregory",Dec 01 2023,Nov 30 2025,Ministerial Order
Real Estate Council of Alberta,Public Member,"Parihar, Jai",Dec 01 2023,Nov 30 2026,Ministerial Order
Real Estate Council of Alberta,Member,"Hamdon, Brad",Dec 01 2023,Nov 30 2025,Ministerial Order
Real Estate Council of Alberta,Member,"Ringseis, Erika",Dec 01 2023,Nov 30 2026,Ministerial Order
Real Estate Council of Alberta,Member,"Engen, Terry",Dec 01 2023,Nov 30 2026,Ministerial Order
Real Estate Council of Alberta,Member,"Laverdure, Brittanee",Dec 01 2023,Nov 30 2025,Ministerial Order
Real Estate Council of Alberta,Member,"Newell, Don",Dec 01 2023,Nov 30 2026,Ministerial Order
Real Estate Council of Alberta,Public Member - Industry Council (c),"Lesperance, Jacquie",Jan 26 2024,Nov 30 2025,Ministerial Order
Real Estate Council of Alberta,Member,"Onyegbula, Nkem",Dec 01 2023,Nov 30 2026,Ministerial Order
Real Estate Council of Alberta,Member,"Ouellette, Guy",Dec 01 2023,Nov 30 2025,Ministerial Order
Recovery Alberta,Chair,"Bales, Kerry",Jul 01 2024,Jun 30 2026,Ministerial Order
Red Deer Polytechnic Board of Governors,Chair & Member,"Pelletier, Guy",Sep 27 2022,Sep 26 2025,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Burke, Tammy",Dec 14 2022,Dec 13 2025,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Wahl, Marc",Jun 06 2024,Jun 05 2027,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Oliver, Julie",Sep 27 2022,Sep 26 2025,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Robinson, Scott",Jun 04 2025,Jun 03 2027,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Rebman, Brenda",Dec 14 2022,Dec 13 2025,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Rattan, Paul",Feb 12 2025,Feb 11 2028,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Wyzykoski, Shannon",Feb 12 2025,Feb 11 2028,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Brisbois, Tristin",Mar 12 2025,Mar 11 2028,Order in Council
Red Deer Polytechnic Board of Governors,Member,"Dharma-Wardene, Melina",Mar 12 2025,Mar 11 2028,Order in Council
Red Deer Polytechnic Board of Governors,Academic Member Rep,"Petrosenko, Bill",Jul 22 2024,Jul 21 2027,Ministerial Order
Red Deer Polytechnic Board of Governors,Academic Member Rep,"Quirk, Dustin",Dec 18 2024,Dec 17 2027,Ministerial Order
Red Deer Polytechnic Board of Governors,Non-Academic Member Rep,"Graham, Caroline",Jun 20 2022,Jun 19 2025,Ministerial Order
Red Deer Polytechnic Board of Governors,Student Member Rep,"Patterson, Jacqueline",May 01 2025,Apr 30 2026,Ministerial Order
Red Deer Polytechnic Board of Governors,Student Member Rep,"Rudd, Tiara",Dec 18 2024,Dec 17 2025,Ministerial Order
Regional Advisory Council 1,Chair,"Jessiman, ShawnaLee",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 1,Vice-Chair,"Melville, Julie",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 1,Member,"Fehr, Joyce",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 1,Member,"Fehr, Nella",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 10,Chair,"Mykytyshyn, Darcy",Jun 23 2025,Jun 23 2028,Ministerial Order
Regional Advisory Council 10,Member,"Scarlett-Ferguson, Heather",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 10,Member,"Hansen, Ken",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 10,Member,"Thompson, Rita",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 10,Member,"Ingeveld, Gerald",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 10,Member,"MacDonald, Elaine",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 10,Member,"Ryder, Ronda",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 10,Member,"Singh, Kelvin",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 10,Member,"Therriault, Manon",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 10,Member,"Ferguson, Kevin",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 10,Member,"Warnock, Richard",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 11,Chair,"Brown, Peter",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 11,Vice-Chair,"Sperber, Jodi",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 11,Member,"Nagy, Dwayne",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 11,Member,"Weinkauf, Robyn",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 11,Member,"Wiley, Rodney",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 11,Member,"Bates, Michelle",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 11,Member,"Sidhu, Simron",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 11,Member,"Vincent, Elaine",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 11,Member,"Walbridge, Judy",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 11,Member,"Nelson, Kelly",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 11,Member,"Nychyk, Michael",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 12,Chair,"Jaffer, Hamida",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 12,Vice-Chair,"Duquette, D'Arcy",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 12,Member,"Shivji, Ali",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 12,Member,"Yang, George",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 12,Member,"Chateau, Christine",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 12,Member,"Elobuike, Linda-Ann",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 12,Member,"Hodge, James",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 12,Member,"Koonar, Saifa",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 12,Member,"Oluge, Dasola",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 12,Member,"Winfield, Linda",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 12,Member,"Wong, Terry",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 13,Chair,"Abrey, Jacen",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 13,Vice-Chair,"MacCumber, Scott",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 13,Member,"Bell, Jeffrey",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 13,Member,"Bermack, Joel",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 13,Member,"Garner, Shaelynn",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 13,Member,"Anderberg, Don",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 13,Member,"Boyer, Barbara",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 13,Member,"Durfey, Dexter",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 13,Member,"Elliott, Crystal",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 13,Member,"Jacob, Jibin",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 13,Member,"Hyggen, Blaine",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 13,Member,"Kenly, Jared",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 14,Chair,"Carolan, Paul",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 14,Vice-Chair,"Reid, Deborah",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 14,Member,"Emkeit, Liberty",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 14,Member,"Hyland, Dianne",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 14,Member,"Mullis, Melissa",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 14,Member,"Tainsh, Gloria",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 14,Member,"Anstey-Martin, Daphne",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 14,Member,"Armstrong, Janice",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 14,Member,"Gouw, Taria",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 14,Member,"Kassem, Ahmed",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 14,Member,"Parkinson, Ian",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 14,Member,"Symmonds, Celina",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 14,Member,"Brost, Blaine",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 14,Member,"Petrie, John",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 2,Chair,"Best, Jennifer",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 2,Vice-Chair,"Grandison, Allan",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 2,Member,"Hussain, Syeda",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 2,Member,"Voyageur, Claris",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 2,Member,"Wallace, Breanna",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 2,Member,"Krylevych, Olena",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 2,Member,"Lloyd, Shannon",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 2,Member,"Titus, Marsha",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 2,Member,"Tulk, Dan",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 3,Chair,"Buchinski, Donna",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 3,Vice-Chair,"Clayton, Jackie",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 3,Member,"Clark, Kirsten",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 3,Member,"Johnston, Jeff",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 3,Member,"Odaibo, Felix",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 3,Member,"Bertozzi, Hugo",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 3,Member,"Burkholder, Stan",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 3,Member,"McOuat, Clayton",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 3,Member,"Montgomery, Daine",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 3,Member,"Sheane, Vanessa",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 3,Member,"Boychuk, Marc",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 3,Member,"Beairsto, Andrew (Cody)",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 4,Chair,"Giesbrecht, Susan",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 4,Vice-Chair,"Ward, Francesca",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 4,Member,"Matthews, Kenneth",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 4,Member,"Laughlin, Robert",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 4,Member,"Therriault, Diane",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 4,Member,"Guild, Robin",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 4,Member,"Stewart, Ann",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 4,Member,"Yacyshyn, Therese",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 5,Chair,"Richardson, Adele",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 5,Vice-Chair,"Edwards, Ida",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 5,Member,"Hampson, Terri",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 5,Member,"Heisler, Jessie",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 5,Member,"Olatunji, Esther",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 5,Member,"Schweer, Nicole",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 5,Member,"Campbell, Audrey",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 5,Member,"Dyck, Melonie",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 5,Member,"Isley, Ruth",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 5,Member,"Palechuk, Patricia",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 5,Member,"Rottier, Sharon",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 5,Member,"LeMessurier, Jonathan",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 5,Member,"Reutov, Paul",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 6,Chair,"Rebman, Brenda",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 6,Vice-Chair,"Jabre, Waseem",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 6,Member,"Anjum, Ifrah",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 6,Member,"Severson, Dana",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 6,Member,"Duerr, Kathy",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 6,Member,"Heraid, Jackson",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 6,Member,"Lees, Rhonda",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 6,Member,"Rye, Randy",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 6,Member,"Strong, John",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 6,Member,"Dodds, Nancy",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 6,Member,"Elliot, Bill",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 6,Member,"Goebel, Jeff",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 6,Member,"Muir, Kelly",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 7,Chair,"Rypien, Lindsay",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 7,Vice-Chair,"Germann, Karl",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 7,Member,"Andres, Gerd",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 7,Member,"Sembaliuk, Laurie Ann",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 7,Member,"Gibbon, Ali",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 7,Member,"Powlik, Darcy",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 7,Member,"Shkrobot, Rhonda",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 7,Member,"Slukynski, Carol",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 7,Member,"Wiedeman, Deborah",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 7,Member,"Biermanski, Shelley",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 7,Member,"Choy, William",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 7,Member,"Harvey, Lorne",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 8,Chair,"Chaudhary, Archana",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 8,Vice-Chair,"Awharitoma, Rufus",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 8,Member,"Gibbons, Ric",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 8,Member,"Qureshi, Nadia",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 8,Member,"Whittaker, Tammy",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 8,Member,"Faulkner, Karen",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 8,Member,"Hassan, Raeesa",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 8,Member,"Marcinkoski, Yuliia",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 8,Member,"Wade, Mark",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 8,Member,"Moffat, Danielle",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 9,Chair,"Abdul Satar, Abdul Majeed",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 9,Vice-Chair,"Dziwenka, Margitta",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 9,Member,"Lawson, Bill",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 9,Member,"Rajoo, Jan",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 9,Member,"Van Wyk, Louis",Jun 23 2025,Jun 22 2028,Ministerial Order
Regional Advisory Council 9,Member,"Cavanagh, Carla",Jun 23 2025,Jun 23 2027,Ministerial Order
Regional Advisory Council 9,Member,"Noel, Karlana",Jun 23 2025,Jun 22 2027,Ministerial Order
Regional Advisory Council 9,Member,"Saretsky, Vince",Jun 23 2025,Jun 22 2026,Ministerial Order
Regional Advisory Council 9,Member,"Snow, Robert",Jun 23 2025,Jun 22 2026,Ministerial Order
Richardson Wildland Provincial Park Cooperative Management Board,Co-Chair & Member,"Parks Regional Director, Environment & Parks",Mar 12 2019,,Ministerial Order
Richardson Wildland Provincial Park Cooperative Management Board,Member,"Parks Area Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Richardson Wildland Provincial Park Cooperative Management Board,Member,"Parks Land & Resource Manager, Environment & Parks",Mar 12 2019,,Ministerial Order
Ronald Lake Bison Herd Cooperative Management Board,Co-Chair & Active Member,"Cotterill, Sue",Jul 22 2021,,Ministerial Order
Ronald Lake Bison Herd Cooperative Management Board,Active Member,"Senior Wildlife Biologist, Environment & Parks",Dec 13 2019,,Ministerial Order
Ronald Lake Bison Herd Cooperative Management Board,Advisory  Member,"Parks Regional Director, Environment & Parks",Dec 13 2019,,Ministerial Order
Rules of Court Committee,"Member, The Law Society of Alberta","Kenny, William",Aug 31 2022,Aug 30 2025,Ministerial Order
Rules of Court Committee,"Member, The Law Society of Alberta","Donaldson, Michael",Nov 26 2024,Nov 25 2031,Ministerial Order
Safety Codes Council,Chair & Member,"Matthew, Jill",May 12 2025,Jun 30 2028,Ministerial Order
Safety Codes Council,"Public Member, Amusement Rides Sub-Council","Chan, Mandy Wing Yin",Aug 18 2024,Jun 30 2027,Ministerial Order
Safety Codes Council,"Public Member, Barrier-free Sub-Council","Muir, Karen",Nov 30 2023,Jan 31 2027,Ministerial Order
Safety Codes Council,"Public Member, Building Sub-Council","Selby, Joshua",Aug 18 2024,Jun 30 2027,Ministerial Order
Safety Codes Council,"Public Member, Electric Sub-Council","Hood, Ken",Nov 30 2023,Nov 30 2026,Ministerial Order
Safety Codes Council,"Public Member, Electrical Utilities Sub-Council","Rector, Stacey",Feb 13 2025,Jan 31 2028,Ministerial Order
Safety Codes Council,"Public Member, Elevators Sub-Council","Burghardt, Sarah",Feb 13 2025,Jan 31 2028,Ministerial Order
Safety Codes Council,"Public Member, Fire Sub-Council","Yeo, Jason",Feb 13 2025,Jan 31 2028,Ministerial Order
Safety Codes Council,"Public Member, Gas Sub-Council","Little, Neil",Aug 18 2024,Jun 30 2027,Ministerial Order
Safety Codes Council,"Public Member, Passenger Ropeways Sub-Council","Lam, Carl",Nov 30 2023,Jan 31 2027,Ministerial Order
Safety Codes Council,"Public Member, Plumbing Sub-Council","Colwell, Mitch",Aug 18 2024,Jun 30 2027,Ministerial Order
Safety Codes Council,"Public Member, Private Sewage Sub-Council","Rebbitt, David",Feb 13 2025,Jan 31 2028,Ministerial Order
Safety Codes Council,"Public Member, Pressure Equipment Sub-Council","Moore, Nyssa",Nov 30 2023,Nov 30 2026,Ministerial Order
Science Advisory Panel,Chair,"Macdonald, Ellen",Apr 29 2024,Apr 29 2026,Ministerial Order
Science Advisory Panel,Member,"Merrill, Evelyn",Jan 28 2023,Jan 27 2026,Ministerial Order
Science Advisory Panel,Member,"Cooke, Steven",Apr 09 2024,Dec 16 2027,Ministerial Order
Science Advisory Panel,Member,"Creed, Irena",Mar 15 2023,Mar 14 2026,Ministerial Order
Science Advisory Panel,Member,"Jenkins, Alan",Mar 15 2023,Mar 14 2026,Ministerial Order
Science Advisory Panel,Member,"Kidd, Karen",Mar 15 2023,Mar 14 2026,Ministerial Order
Science Advisory Panel,Member,"Adamowicz, Vic",Apr 09 2024,Apr 08 2028,Ministerial Order
Science Advisory Panel,Member,"Schnell, Russell",Apr 29 2024,Apr 29 2027,Ministerial Order
SFPP Corporation,Chair,"Elliott, Jason",Jan 15 2025,Dec 31 2027,Order in Council
SFPP Corporation,Employee Nominee,"Burdyny, John",Feb 09 2023,Dec 31 2025,Order in Council
SFPP Corporation,Employee Nominee,"LaDouceur, Kurtis",Feb 09 2023,Dec 31 2025,Order in Council
SFPP Corporation,Employee Nominee,"Paton, David",Feb 09 2023,Dec 31 2025,Order in Council
SFPP Corporation,Employer Nominee,"Jubinville, Denis",Jan 15 2025,Dec 31 2027,Order in Council
SFPP Corporation,Employer Nominee,"Storer, Monica",Jan 15 2025,Dec 31 2027,Order in Council
Skilled Trades Youth Ambassadors,Member,"Shields, Andrew",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Rainforth, Ben",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Sperling, Chloe",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Duce, Dalin",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Marklund, Eden",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Van Hardeveld, Laine",Nov 19 2024,Nov 19 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Roseberry, Nathalie",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Schuk, Sydney",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Beazer, Mary",Nov 19 2024,Nov 13 2025,Ministerial Order
Skilled Trades Youth Ambassadors,Member,"Mehlhaff, Trinity",Nov 19 2024,Nov 13 2025,Ministerial Order
Society of Local Government Managers of Alberta - Board of Directors,Public Member,"Lambert, Anne-Marie",Dec 18 2024,Dec 17 2026,Ministerial Order
Southern Alberta Institute of Technology Board of Governors,Chair & Member,"Erickson, David",Apr 22 2023,Apr 21 2026,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Bailey, Cam",Aug 18 2022,Aug 17 2025,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Billington, Susan",Jul 04 2023,Jul 03 2026,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"MacDonald, Ryan",Jun 29 2025,Jun 28 2028,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Fleming, Tonya",Aug 18 2022,Aug 17 2025,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Lauder, Robert",Jan 24 2024,Jan 23 2027,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Murphy, Lara",Aug 18 2022,Aug 17 2025,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Sekhon, Ravdeep",Jan 24 2024,Jan 23 2027,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Leong, Amy",Dec 11 2024,Dec 10 2027,Order in Council
Southern Alberta Institute of Technology Board of Governors,Member,"Kad, Sanjeev",May 14 2025,May 13 2028,Order in Council
Southern Alberta Institute of Technology Board of Governors,Academic Staff Rep,"Kowalchuk, Teela",Jul 15 2024,Jun 30 2026,Ministerial Order
Southern Alberta Institute of Technology Board of Governors,Academic Staff Rep,"Stroobant, Richard",Jul 01 2025,Jun 30 2027,Ministerial Order
Southern Alberta Institute of Technology Board of Governors,Non-Academic Staff Rep,"Trache, Andy",Oct 21 2022,Oct 20 2025,Ministerial Order
Southern Alberta Institute of Technology Board of Governors,Student Member Rep,"Armagan, Abdurrahim (Abe)",Jun 24 2025,May 01 2026,Ministerial Order
Southern Alberta Institute of Technology Board of Governors,Student Member Rep,"Tolentino, Hannah Mae",Jun 24 2025,May 01 2026,Ministerial Order
Special Areas Board,Chair & GOA Employee,"Kovitch, Shaune",Mar 21 2025,Mar 20 2028,Order in Council
Special Areas Board,Member,"Noble, Doug",Apr 23 2024,Apr 30 2026,Order in Council
Special Areas Board,Member,"Slorstad, Brad",Apr 23 2024,Apr 30 2026,Order in Council
